,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,301441,sub,James Justin,6.2,0,0,0,0,23,20,1,0,0,0,0,0
1,331382,sub,Harvey Barnes,6.7,0,1,1,0,5,5,1,1,0,0,0,0
2,345664,sub,Boubakary Soumaré,5.9,0,0,0,0,4,4,0,0,0,0,0,0
3,135366,sub,Ayoze Pérez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,18310,sub,Eldin Jakupovic,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,429531,sub,Kasey McAteer,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,429681,sub,Lewis Brunt,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,99165,sub,Danny Ward,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,409879,sub,Vontae Daley-Campbell,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,19545,GK,Kasper Schmeichel,6.6,0,0,0,0,37,25,0,0,2,0,0,0
10,87182,DC,Jannik Vestergaard,6.3,0,0,0,0,72,67,0,0,3,2,0,0
11,317998,DC,Çaglar Söyüncü,6.4,0,0,1,0,71,64,0,0,4,1,0,0
12,312670,DC,Hamza Choudhury,6.4,0,0,1,0,62,54,2,1,3,3,1,0
13,42147,DMR,Marc Albrighton,6.5,0,0,0,0,37,28,4,0,6,3,0,0
14,396317,DML,Luke Thomas,7.3,0,0,0,0,49,46,1,0,4,4,0,0
15,136345,MC,Youri Tielemans,6.7,0,0,3,0,63,57,2,2,3,1,0,0
16,391256,MC,Kiernan Dewsbury-Hall,7.2,0,0,2,0,67,60,2,2,2,2,0,0
17,137015,MC,James Maddison,7.3,1,0,3,3,39,30,0,0,4,1,0,0
18,345560,FW,Patson Daka,6.9,1,0,2,1,12,9,2,1,1,0,0,0
19,299451,FW,Ademola Lookman,6.4,0,0,1,0,28,22,1,1,1,0,0,0
20,25604,GK,Hugo Lloris,6.3,0,0,0,0,15,14,0,0,0,0,0,0
21,322655,DC,Davinson Sánchez,6.9,0,0,1,0,88,86,0,0,4,3,1,0
22,384063,DC,Japhet Tanganga,7.2,0,0,2,1,76,66,1,1,4,4,0,0
23,103837,DC,Ben Davies,6.8,0,0,0,0,76,69,0,0,4,4,0,0
24,328512,DMR,Emerson Royal,6.2,0,0,1,0,15,12,1,0,1,1,0,0
25,362275,DML,Sergio Reguilón,7.8,0,0,2,1,28,24,7,5,5,4,0,0
26,101859,MC,Pierre-Emile Højbjerg,7.1,0,0,4,1,66,59,2,2,1,1,0,0
27,143990,MC,Harry Winks,7.4,0,1,0,0,64,59,0,0,1,0,0,0
28,364215,MC,Oliver Skipp,6.4,0,0,1,0,50,42,0,0,4,2,0,0
29,92508,FW,Lucas Moura,7.4,0,0,2,1,30,25,6,2,2,0,0,0
30,83532,FW,Harry Kane,9.3,1,1,10,3,35,24,4,4,1,1,0,0
31,279425,sub,Steven Bergwijn,7.9,2,0,2,2,9,8,2,1,0,0,1,0
32,94042,sub,Matt Doherty,7.1,0,1,2,1,31,25,0,0,0,0,0,0
33,303908,sub,Giovani Lo Celso,6.1,0,0,0,0,9,8,1,1,1,0,0,0
34,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,368519,sub,Bryan Gil,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,322611,sub,Ryan Sessegnon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,131519,sub,Dele Alli,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
