,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,302312,sub,Joe Rodon,6.1,0,0,0,0,2,2,0,0,0,0,0,0
1,355855,sub,Dejan Kulusevski,5.9,0,0,0,0,1,1,0,0,1,0,1,0
2,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,279425,sub,Steven Bergwijn,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,386134,sub,Brandon Austin,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,437758,sub,Matthew Craig,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,6.9,0,0,0,0,19,15,0,0,0,0,1,0
10,322655,DC,Davinson Sánchez,7.6,0,0,1,0,91,84,2,2,2,2,0,0
11,117973,DC,Eric Dier,7.0,0,0,0,0,90,79,0,0,0,0,0,0
12,103837,DC,Ben Davies,7.1,0,0,2,1,81,76,1,1,1,1,0,0
13,328512,DC,Emerson Royal,7.1,0,0,2,1,51,47,1,0,0,0,0,0
14,322611,DML,Ryan Sessegnon,7.5,0,0,2,0,51,44,1,0,3,2,0,0
15,101859,MC,Pierre-Emile Højbjerg,6.8,0,0,1,0,84,77,1,1,1,1,0,0
16,303657,MC,Rodrigo Bentancur,7.5,0,0,3,1,86,77,1,1,2,1,0,0
17,92508,AMC,Lucas Moura,7.2,0,0,2,0,32,29,3,2,1,1,1,0
18,91909,AMC,Son Heung-Min,7.0,0,0,2,2,36,28,2,1,1,1,0,0
19,83532,FW,Harry Kane,7.4,1,0,6,3,23,9,2,1,0,0,0,0
20,105720,GK,Nick Pope,7.8,0,0,0,0,22,10,0,0,0,0,1,0
21,135865,DR,Connor Roberts,6.1,0,0,0,0,40,33,1,0,2,1,1,0
22,372724,DC,Nathan Collins,7.2,0,0,1,0,27,22,0,0,1,0,0,0
23,74606,DC,Kevin Long,6.3,0,0,2,0,24,18,0,0,3,3,0,0
24,80067,DC,Matthew Lowton,6.6,0,0,0,0,21,16,0,0,2,2,0,0
25,107462,DL,Charlie Taylor,7.1,0,0,0,0,29,20,1,1,6,5,0,0
26,22847,MC,Jack Cork,6.6,0,0,0,0,35,29,0,0,2,2,0,0
27,138929,MC,Josh Brownhill,6.8,0,0,0,0,25,17,0,0,5,4,0,0
28,357427,MC,Dwight McNeil,6.8,0,0,1,0,31,28,2,1,2,0,0,0
29,33386,FW,Ashley Barnes,6.4,0,0,2,0,16,9,1,1,2,0,0,0
30,125004,FW,Maxwel Cornet,5.9,0,0,2,1,17,13,2,0,1,0,0,0
31,5625,sub,Aaron Lennon,6.1,0,0,0,0,6,3,0,0,0,0,0,0
32,115479,sub,Wout Weghorst,6.1,0,0,0,0,6,3,0,0,0,0,0,0
33,363847,sub,Anthony Mancini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
34,437322,sub,Dara Costelloe,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,18181,sub,Phil Bardsley,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,21571,sub,Wayne Hennessey,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,395615,sub,Bobby Thomas,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,423378,sub,Owen Dodgson,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,430746,sub,Joseph McGlynn,0.0,0,0,0,0,0,0,0,0,0,0,0,0
