,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,235755,sub,Diogo Jota,6.0,0,0,0,0,9,7,2,0,1,0,0,0
1,243510,sub,Naby Keïta,5.9,0,0,0,0,3,3,0,0,0,0,1,0
2,301455,sub,Konstantinos Tsimikas,6.3,0,0,0,0,18,14,0,0,1,1,1,0
3,124688,sub,Divock Origi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,74341,sub,Joel Matip,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,322176,sub,Caoimhin Kelleher,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,355354,sub,Curtis Jones,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,4511,sub,James Milner,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,136451,sub,Joseph Gomez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,114147,GK,Alisson,6.3,0,0,0,0,17,16,0,0,0,0,0,0
10,318871,DR,Trent Alexander-Arnold,7.1,0,0,4,0,74,61,0,0,5,4,0,0
11,345957,DC,Ibrahima Konaté,6.6,0,0,1,0,68,62,0,0,4,2,0,0
12,95408,DC,Virgil van Dijk,6.9,0,0,3,0,69,62,0,0,2,2,0,0
13,115726,DL,Andrew Robertson,6.8,0,0,0,0,48,43,0,0,4,2,0,0
14,115916,MC,Fabinho,6.8,0,0,0,0,55,48,0,0,3,3,1,0
15,74939,MC,Thiago,7.2,0,1,3,0,100,91,3,1,4,2,0,0
16,68659,MC,Jordan Henderson,6.3,0,0,2,0,60,50,1,1,0,0,0,0
17,108226,FWR,Mohamed Salah,6.3,0,0,3,0,31,20,1,1,0,0,0,0
18,109915,FW,Sadio Mané,6.7,0,0,1,1,29,19,1,0,2,2,0,0
19,377168,FWL,Luis Díaz,8.1,1,0,5,2,37,34,3,3,2,1,0,0
20,25604,GK,Hugo Lloris,6.3,0,0,0,0,27,20,0,0,0,0,0,0
21,323663,DC,Cristian Romero,6.8,0,0,0,0,53,39,1,0,2,1,0,0
22,117973,DC,Eric Dier,7.1,0,0,0,0,44,35,0,0,1,1,0,0
23,103837,DC,Ben Davies,6.9,0,0,1,0,22,13,0,0,1,1,1,0
24,328512,DMR,Emerson Royal,7.4,0,0,1,0,33,26,1,1,4,4,0,0
25,322611,DML,Ryan Sessegnon,7.3,0,1,0,0,22,11,0,0,6,5,1,0
26,101859,MC,Pierre-Emile Højbjerg,7.4,0,0,1,0,44,40,1,1,4,1,0,0
27,303657,MC,Rodrigo Bentancur,6.9,0,0,1,1,32,26,0,0,3,3,0,0
28,355855,FWR,Dejan Kulusevski,6.7,0,0,1,1,25,18,8,3,1,0,0,0
29,83532,FW,Harry Kane,7.0,0,0,1,0,18,9,4,3,0,0,0,0
30,91909,FWL,Son Heung-Min,7.4,1,0,2,1,15,12,4,0,2,2,0,0
31,143990,sub,Harry Winks,6.3,0,0,0,0,2,2,0,0,2,2,0,0
32,279425,sub,Steven Bergwijn,6.1,0,0,0,0,1,1,1,1,0,0,0,0
33,322655,sub,Davinson Sánchez,6.2,0,0,0,0,0,0,0,0,0,0,0,0
34,92508,sub,Lucas Moura,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,437758,sub,Matthew Craig,0.0,0,0,0,0,0,0,0,0,0,0,0,0
