,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,361787,sub,Jamie Shackleton,5.9,0,0,1,0,5,5,0,0,0,0,0,0
1,83459,sub,Rodrigo,6.2,0,0,2,1,15,10,1,0,0,0,1,0
2,69638,sub,Mateusz Klich,6.2,0,0,1,1,25,23,1,1,4,2,1,0
3,382564,sub,Crysencio Summerville,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,335718,sub,Kristoffer Klaesson,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,362192,sub,Joe Gelhardt,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,280771,sub,Tyler Roberts,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,400646,sub,Charlie Cresswell,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,425381,sub,Nohan Kenneh,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,380580,GK,Illan Meslier,7.1,0,0,0,0,10,10,0,0,1,1,0,0
10,82877,DR,Luke Ayling,5.7,0,0,1,0,54,49,0,0,3,3,0,0
11,355609,DC,Pascal Struijk,5.8,0,0,2,0,41,40,0,0,1,1,0,0
12,123232,DC,Diego Llorente,5.8,0,0,0,0,51,48,0,0,3,2,0,0
13,351252,DL,Junior Firpo,6.1,0,0,0,0,45,39,1,1,5,2,1,0
14,276205,DMC,Robin Koch,6.8,0,0,2,0,46,40,0,0,1,0,0,0
15,300447,MR,Raphinha,6.3,0,0,3,0,46,31,2,0,1,0,0,0
16,82972,MC,Adam Forshaw,5.9,0,0,2,0,41,36,0,0,7,5,0,0
17,134143,MC,Stuart Dallas,6.4,0,0,3,1,30,28,1,1,3,1,1,0
18,317896,ML,Jack Harrison,6.1,0,0,1,0,21,12,1,1,1,0,0,0
19,302313,FW,Daniel James,5.9,0,0,1,0,19,16,2,1,0,0,0,0
20,25604,GK,Hugo Lloris,6.8,0,0,0,0,24,21,0,0,1,0,0,0
21,323663,DC,Cristian Romero,7.4,0,0,0,0,64,59,0,0,2,2,0,0
22,117973,DC,Eric Dier,7.1,0,0,0,0,64,57,0,0,0,0,0,0
23,103837,DC,Ben Davies,8.0,0,0,1,1,31,26,0,0,2,2,0,0
24,94042,DMR,Matt Doherty,8.9,1,1,2,2,46,41,1,1,1,0,0,0
25,322611,DML,Ryan Sessegnon,7.8,0,1,2,1,11,9,1,0,1,1,1,0
26,101859,MC,Pierre-Emile Højbjerg,8.1,0,1,0,0,65,58,1,1,4,3,0,0
27,143990,MC,Harry Winks,7.0,0,0,0,0,55,50,1,0,2,1,0,0
28,355855,AMC,Dejan Kulusevski,8.5,1,0,4,2,34,31,5,4,2,1,0,0
29,91909,AMC,Son Heung-Min,9.0,1,0,4,4,35,32,5,4,0,0,0,0
30,83532,FW,Harry Kane,9.2,1,1,2,1,36,26,4,2,0,0,0,0
31,407154,sub,Dane Scarlett,6.2,0,0,0,0,1,1,1,1,0,0,0,0
32,279425,sub,Steven Bergwijn,6.2,0,0,0,0,7,7,1,0,0,0,0,0
33,328512,sub,Emerson Royal,6.1,0,0,0,0,1,0,2,0,0,0,0,0
34,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,362275,sub,Sergio Reguilón,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,386134,sub,Brandon Austin,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,409089,sub,Alfie Devine,0.0,0,0,0,0,0,0,0,0,0,0,0,0
