,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,143990,sub,Harry Winks,6.1,0,0,0,0,11,11,0,0,1,1,0,0
1,279425,sub,Steven Bergwijn,5.7,0,0,1,0,1,1,0,0,0,0,0,0
2,92508,sub,Lucas Moura,6.0,0,0,0,0,5,1,1,0,1,1,0,0
3,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,410514,sub,Marcel Lavinier,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,322611,sub,Ryan Sessegnon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,6.5,0,0,0,0,31,27,0,0,0,0,0,0
10,323663,DC,Cristian Romero,6.2,0,0,0,0,87,73,2,1,6,6,0,0
11,117973,DC,Eric Dier,6.1,0,0,0,0,92,81,0,0,1,1,0,0
12,103837,DC,Ben Davies,6.7,0,0,0,0,61,49,2,1,0,0,0,0
13,328512,DMR,Emerson Royal,6.1,0,0,0,0,33,24,0,0,2,1,1,0
14,362275,DML,Sergio Reguilón,6.3,0,0,0,0,27,17,1,0,2,1,0,0
15,101859,MC,Pierre-Emile Højbjerg,7.1,0,0,0,0,51,43,3,3,3,2,0,0
16,303657,MC,Rodrigo Bentancur,7.5,0,0,1,0,46,38,2,2,2,1,1,0
17,355855,FWR,Dejan Kulusevski,5.9,0,0,0,0,10,9,1,0,1,1,1,0
18,83532,FW,Harry Kane,6.3,0,0,1,0,14,8,1,1,1,0,0,0
19,91909,FWL,Son Heung-Min,6.2,0,0,2,0,11,11,2,1,1,0,0,0
20,362151,GK,Robert Sánchez,6.7,0,0,0,0,37,19,0,0,0,0,0,0
21,110290,DC,Joël Veltman,7.7,0,0,2,1,57,48,0,0,1,1,0,0
22,363496,DC,Marc Cucurella,7.3,0,0,1,0,59,51,0,0,3,3,0,0
23,86441,DC,Lewis Dunk,6.8,0,0,1,1,57,48,0,0,0,0,1,0
24,386979,DMR,Tariq Lamptey,6.8,0,0,1,1,31,29,2,1,3,2,0,0
25,113994,DML,Leandro Trossard,7.7,1,0,2,1,49,39,1,1,3,2,0,0
26,71824,MC,Pascal Groß,7.5,0,0,0,0,44,40,1,1,0,0,0,0
27,303096,MC,Yves Bissouma,7.7,0,0,0,0,67,60,3,3,4,3,1,0
28,410175,MC,Moisés Caicedo,6.4,0,0,0,0,25,22,1,0,4,2,0,0
29,345319,FW,Alexis Mac Allister,6.5,0,0,1,0,35,31,1,0,3,3,0,0
30,353191,FW,Enock Mwepu,6.1,0,0,2,1,7,7,0,0,2,0,1,0
31,39308,sub,Danny Welbeck,6.5,0,0,2,0,13,10,0,0,2,1,0,0
32,21683,sub,Adam Lallana,6.1,0,0,0,0,10,9,0,0,1,0,0,0
33,122926,sub,Solly March,6.1,0,0,0,0,8,6,0,0,0,0,0,0
34,425603,sub,Jeremy Sarmiento,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,119822,sub,Neal Maupay,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,423720,sub,Evan Ferguson,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,109922,sub,Adam Webster,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,33532,sub,Jason Steele,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,423721,sub,Odeluga Offiah,0.0,0,0,0,0,0,0,0,0,0,0,0,0
