number,name,position,age,nation,team,value
1,Kylian Mbappé,Centre-Forward,23,France,Paris Saint-Germain,€160.00m
2,Erling Haaland,Centre-Forward,21,Norway,Borussia Dortmund,€150.00m
3,Vinicius Junior,Left Winger,21,Brazil,Real Madrid,€100.00m
4,Mohamed Salah,Right Winger,29,Egypt,Liverpool FC,€100.00m
5,Harry Kane,Centre-Forward,28,England,Tottenham Hotspur,€100.00m
6,Romelu Lukaku,Centre-Forward,28,Belgium,Chelsea FC,€100.00m
7,Bruno Fernandes,Attacking Midfield,27,Portugal,Manchester United,€90.00m
8,Kevin De Bruyne,Attacking Midfield,30,Belgium,Manchester City,€90.00m
9,Neymar,Left Winger,29,Brazil,Paris Saint-Germain,€90.00m
10,Phil Foden,Central Midfield,21,England,Manchester City,€85.00m
11,Jadon Sancho,Left Winger,21,England,Manchester United,€85.00m
12,Marcus Rashford,Left Winger,24,England,Manchester United,€85.00m
13,Joshua Kimmich,Defensive Midfield,26,Germany,Bayern Munich,€85.00m
14,Raheem Sterling,Left Winger,27,England,Manchester City,€85.00m
15,Pedri,Central Midfield,19,Spain,FC Barcelona,€80.00m
16,Lautaro Martínez,Centre-Forward,24,Argentina,Inter Milan,€80.00m
17,Trent Alexander-Arnold,Right-Back,23,England,Liverpool FC,€80.00m
18,Jack Grealish,Left Winger,26,England,Manchester City,€80.00m
19,Sadio Mané,Left Winger,29,Senegal,Liverpool FC,€80.00m
20,Heung-min Son,Left Winger,29,"Korea, South",Tottenham Hotspur,€80.00m
21,Jude Bellingham,Central Midfield,18,England,Borussia Dortmund,€75.00m
22,Declan Rice,Defensive Midfield,23,England,West Ham United,€75.00m
23,Mason Mount,Attacking Midfield,23,England,Chelsea FC,€75.00m
24,Rúben Dias,Centre-Back,24,Portugal,Manchester City,€75.00m
25,Bernardo Silva,Attacking Midfield,27,Portugal,Manchester City,€75.00m
26,Marquinhos,Centre-Back,27,Brazil,Paris Saint-Germain,€75.00m
27,Florian Wirtz,Attacking Midfield,18,Germany,Bayer 04 Leverkusen,€70.00m
28,Alphonso Davies,Left-Back,21,Canada,Bayern Munich,€70.00m
29,Achraf Hakimi,Right-Back,23,Morocco,Paris Saint-Germain,€70.00m
30,Rodri,Defensive Midfield,25,Spain,Manchester City,€70.00m
31,Dusan Vlahovic,Centre-Forward,21,Serbia,ACF Fiorentina,€70.00m
32,Mikel Oyarzabal,Left Winger,24,Spain,Real Sociedad,€70.00m
33,Federico Chiesa,Right Winger,24,Italy,Juventus FC,€70.00m
34,Frenkie de Jong,Central Midfield,24,Netherlands,FC Barcelona,€70.00m
35,Kai Havertz,Attacking Midfield,22,Germany,Chelsea FC,€70.00m
36,Sergej Milinković-Savić,Central Midfield,26,Serbia,SS Lazio,€70.00m
37,Nicolò Barella,Central Midfield,24,Italy,Inter Milan,€70.00m
38,Leroy Sané,Left Winger,26,Germany,Bayern Munich,€70.00m
39,Serge Gnabry,Right Winger,26,Germany,Bayern Munich,€70.00m
40,Leon Goretzka,Central Midfield,26,Germany,Bayern Munich,€70.00m
41,Bukayo Saka,Right Midfield,20,England,Arsenal FC,€65.00m
42,Federico Valverde,Central Midfield,23,Uruguay,Real Madrid,€65.00m
43,Matthijs de Ligt,Centre-Back,22,Netherlands,Juventus FC,€65.00m
44,Gianluigi Donnarumma,Goalkeeper,22,Italy,Paris Saint-Germain,€65.00m
45,Andrew Robertson,Left-Back,27,Scotland,Liverpool FC,€65.00m
46,Milan Skriniar,Centre-Back,26,Slovakia,Inter Milan,€65.00m
47,Raphaël Varane,Centre-Back,28,France,Manchester United,€65.00m
48,Thibaut Courtois,Goalkeeper,29,Belgium,Real Madrid,€65.00m
49,Ansu Fati,Left Winger,19,Spain,FC Barcelona,€60.00m
50,João Félix,Second Striker,22,Portugal,Atlético de Madrid,€60.00m
