,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,129758,sub,Jean-Philippe Gbamin,6.2,0,0,0,0,0,0,0,0,0,0,0,0
1,316077,sub,Tom Davies,6.2,0,0,2,1,11,8,0,0,1,0,0,0
2,297544,sub,Mason Holgate,5.1,0,0,0,0,2,0,0,0,0,0,0,0
3,23122,sub,Asmir Begovic,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,136824,sub,Alexander Iwobi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,77438,sub,Cenk Tosun,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,25964,sub,Salomón Rondón,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,255961,sub,Jonjoe Kenny,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,381045,sub,Jarrad Branthwaite,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,110189,GK,Jordan Pickford,6.3,0,0,0,0,22,12,0,0,0,0,0,0
10,31826,DR,Séamus Coleman,7.4,0,0,0,0,57,43,3,2,5,5,0,0
11,107941,DC,Michael Keane,7.2,0,0,1,0,58,46,1,1,3,1,0,0
12,287504,DC,Ben Godfrey,6.9,0,0,1,1,49,43,0,0,0,0,0,0
13,89925,DL,Lucas Digne,6.8,0,0,0,0,54,48,1,0,2,1,0,0
14,349669,MR,Anthony Gordon,6.6,0,0,2,0,22,18,1,0,7,4,0,0
15,82438,MC,Allan,7.4,0,0,0,0,44,38,3,3,6,4,0,0
16,27213,MC,Fabian Delph,6.9,0,0,0,0,38,33,1,0,3,3,1,0
17,136945,ML,Demarai Gray,7.4,0,0,5,0,29,25,6,4,3,3,0,0
18,71522,AMC,Andros Townsend,6.8,0,0,0,0,29,24,3,2,3,1,0,0
19,317804,FW,Richarlison,6.2,0,0,1,0,13,8,3,1,0,0,1,0
20,25604,GK,Hugo Lloris,7.0,0,0,0,0,24,22,0,0,0,0,0,0
21,323663,DC,Cristian Romero,7.4,0,0,0,0,63,56,0,0,4,3,1,0
22,117973,DC,Eric Dier,6.9,0,0,0,0,52,48,0,0,0,0,0,0
23,103837,DC,Ben Davies,7.3,0,0,1,0,78,65,0,0,4,3,0,0
24,328512,DMR,Emerson Royal,6.9,0,0,1,0,47,39,0,0,5,3,0,0
25,362275,DML,Sergio Reguilón,6.3,0,0,2,0,35,24,4,2,0,0,1,0
26,101859,MC,Pierre-Emile Højbjerg,7.0,0,0,0,0,77,68,3,2,4,4,0,0
27,364215,MC,Oliver Skipp,7.0,0,0,0,0,46,43,1,0,4,3,1,0
28,92508,AMC,Lucas Moura,6.6,0,0,1,0,29,22,2,2,2,0,0,0
29,91909,AMC,Son Heung-Min,6.6,0,0,0,0,27,23,4,3,2,0,0,0
30,83532,FW,Harry Kane,6.5,0,0,2,0,34,26,2,1,1,0,0,0
31,94042,sub,Matt Doherty,6.4,0,0,0,0,11,9,2,1,2,0,0,0
32,321389,sub,Tanguy Ndombele,5.7,0,0,0,0,0,0,0,0,1,0,1,0
33,303908,sub,Giovani Lo Celso,6.3,0,0,1,0,11,8,0,0,0,0,0,0
34,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,279425,sub,Steven Bergwijn,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,384063,sub,Japhet Tanganga,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,131519,sub,Dele Alli,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
