,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,318744,sub,Josh Dasilva,6.0,0,0,0,0,4,4,0,0,0,0,0,0
1,296240,sub,Yoane Wissa,6.3,0,0,0,0,4,2,0,0,1,1,0,0
2,131171,sub,Jonas Lössl,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,362124,sub,Shandon Baptiste,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,120000,sub,Julian Jeanvier,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,240848,sub,Tariqe Fosu-Henry,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,423730,sub,Myles Peart-Harris,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,429388,sub,Nathan Young-Coombes,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,399526,sub,Finley Stevens,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,276366,GK,David Raya,6.5,0,0,0,0,46,32,0,0,0,0,0,0
10,320575,DR,Saman Ghoddos,6.8,0,0,1,0,20,13,0,0,1,1,0,0
11,329554,DC,Mads Roerslev,6.8,0,0,0,0,33,26,0,0,0,0,0,0
12,346304,DC,Mads Bech Sørensen,6.5,0,0,0,0,44,37,0,0,1,1,1,0
13,121123,DC,Pontus Jansson,7.5,0,0,1,1,44,37,0,0,2,2,1,0
14,229562,DL,Rico Henry,6.7,0,0,0,0,36,28,2,1,1,0,0,0
15,69344,MC,Christian Eriksen,7.6,0,0,3,1,45,34,2,1,1,1,0,0
16,339674,MC,Mathias Jensen,6.7,0,0,0,0,32,22,1,0,5,2,0,0
17,298689,MC,Vitaly Janelt,6.9,0,0,0,0,45,38,1,0,5,3,0,0
18,353377,FW,Bryan Mbeumo,6.2,0,0,5,0,18,11,0,0,2,0,0,0
19,134240,FW,Ivan Toney,7.6,0,0,5,0,22,12,2,0,2,1,0,0
20,25604,GK,Hugo Lloris,6.9,0,0,0,0,16,10,0,0,0,0,0,0
21,323663,DC,Cristian Romero,7.6,0,0,0,0,55,51,0,0,1,1,0,0
22,117973,DC,Eric Dier,7.0,0,0,0,0,72,64,0,0,2,2,0,0
23,103837,DC,Ben Davies,6.9,0,0,0,0,58,44,0,0,0,0,0,0
24,328512,DMR,Emerson Royal,6.9,0,0,0,0,38,29,1,1,4,2,0,0
25,322611,DML,Ryan Sessegnon,6.4,0,0,0,0,22,16,0,0,1,1,0,0
26,101859,MC,Pierre-Emile Højbjerg,7.4,0,0,0,0,79,73,2,1,2,2,0,0
27,303657,MC,Rodrigo Bentancur,6.9,0,0,3,0,68,62,1,1,0,0,1,0
28,355855,FWR,Dejan Kulusevski,6.9,0,0,2,0,32,26,1,1,2,2,0,0
29,83532,FW,Harry Kane,7.0,0,0,4,0,14,9,2,0,1,1,0,0
30,91909,FWL,Son Heung-Min,7.3,0,0,0,0,42,36,5,5,0,0,0,0
31,322655,sub,Davinson Sánchez,6.2,0,0,0,0,12,11,0,0,0,0,0,0
32,92508,sub,Lucas Moura,6.1,0,0,0,0,0,0,0,0,0,0,0,0
33,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
34,279425,sub,Steven Bergwijn,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,362275,sub,Sergio Reguilón,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
