,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,93160,sub,Ryan Fraser,6.1,0,0,1,0,7,7,0,0,0,0,0,0
1,141486,sub,Jacob Murphy,6.4,0,0,1,0,7,5,1,0,2,2,0,0
2,40027,sub,Jonjo Shelvey,4.8,0,0,0,0,9,8,0,0,2,1,2,0
3,44847,sub,Federico Fernández,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,86454,sub,Jeff Hendrick,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,82726,sub,Fabian Schär,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,118326,sub,Dwight Gayle,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,134640,sub,Mark Gillespie,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,350138,sub,Jamal Lewis,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,70483,GK,Karl Darlow,6.0,0,0,0,0,29,19,0,0,0,0,0,0
10,109227,DR,Javier Manquillo,7.5,0,1,0,0,18,16,0,0,7,6,0,0
11,70099,DC,Ciaran Clark,6.7,0,0,1,0,37,32,0,0,2,2,1,0
12,105171,DC,Jamaal Lascelles,7.3,0,0,1,0,42,32,1,1,2,1,0,0
13,68648,DL,Matt Ritchie,6.3,0,0,0,0,42,30,0,0,5,3,0,0
14,136356,DMC,Isaac Hayden,6.7,0,0,0,0,22,20,4,2,8,4,1,0
15,135891,MR,Allan Saint-Maximin,7.0,0,0,2,0,24,14,9,7,0,0,0,0
16,342563,MC,Joseph Willock,6.2,0,0,0,0,27,25,2,1,3,2,0,0
17,342811,MC,Sean Longstaff,6.0,0,0,0,0,24,23,1,1,2,2,1,0
18,201755,ML,Joelinton,6.1,0,0,0,0,40,31,3,0,4,2,1,0
19,134115,FW,Callum Wilson,7.3,1,0,1,1,6,3,3,1,1,1,0,0
20,25604,GK,Hugo Lloris,5.7,0,0,0,0,22,18,0,0,0,0,0,0
21,328512,DR,Emerson Royal,6.6,0,0,0,0,44,30,1,0,5,5,1,0
22,323663,DC,Cristian Romero,6.8,0,0,0,0,60,49,0,0,7,4,0,0
23,117973,DC,Eric Dier,5.8,1,0,1,0,65,57,0,0,0,0,0,0
24,362275,DL,Sergio Reguilón,6.7,0,1,0,0,67,57,2,1,3,1,0,0
25,101859,DMC,Pierre-Emile Højbjerg,8.1,0,1,1,1,103,99,3,1,13,9,0,0
26,364215,DMC,Oliver Skipp,6.7,0,0,0,0,77,74,0,0,4,4,0,0
27,92508,AMR,Lucas Moura,7.5,0,0,4,0,45,36,6,5,4,0,0,0
28,321389,AMC,Tanguy Ndombele,8.2,1,0,5,1,66,61,9,4,4,4,0,0
29,91909,AML,Son Heung-Min,7.4,1,0,1,1,38,35,2,0,0,0,0,0
30,83532,FW,Harry Kane,8.1,1,1,2,1,25,23,3,1,0,0,0,0
31,303908,sub,Giovani Lo Celso,0.0,0,0,0,0,0,0,0,0,0,0,0,0
32,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
33,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
34,279425,sub,Steven Bergwijn,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,368519,sub,Bryan Gil,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,131519,sub,Dele Alli,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,384063,sub,Japhet Tanganga,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,103837,sub,Ben Davies,0.0,0,0,0,0,0,0,0,0,0,0,0,0
