,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,86425,sub,Nathan Redmond,6.0,0,0,0,0,3,1,0,0,0,0,0,0
1,393407,sub,Armando Broja,6.1,0,0,1,0,1,1,2,1,0,0,0,0
2,34749,sub,Willy Caballero,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,141732,sub,Mohamed Elyounoussi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,90780,sub,Oriol Romeu,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,397467,sub,Dynel Simeu,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,409496,sub,Thierry Small,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,13796,sub,Theo Walcott,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,395472,sub,Nathan Tella,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,29796,GK,Fraser Forster,8.1,0,0,0,0,35,14,0,0,0,0,0,0
10,313672,DR,Kyle Walker-Peters,6.4,0,0,0,0,18,13,1,0,1,1,1,0
11,323791,DC,Yan Valery,6.4,0,0,1,0,25,17,0,0,2,1,0,0
12,362357,DC,Mohammed Salisu,5.0,0,0,0,0,21,16,0,0,3,2,2,0
13,136742,DC,Jan Bednarek,7.5,0,0,0,0,26,22,0,0,3,2,0,0
14,331466,DL,Romain Perraud,6.3,0,0,1,0,35,22,1,1,0,0,0,0
15,105172,MC,James Ward-Prowse,7.8,1,0,2,2,35,27,1,1,2,2,0,0
16,93677,MC,Stuart Armstrong,6.0,0,0,2,0,23,16,0,0,0,0,0,0
17,357101,MC,Ibrahima Diallo,7.1,0,0,0,0,35,29,2,2,6,5,0,0
18,13798,FW,Shane Long,6.8,0,0,0,0,16,9,0,0,2,2,0,0
19,136460,FW,Adam Armstrong,6.1,0,0,2,0,17,14,1,0,1,0,1,0
20,25604,GK,Hugo Lloris,6.1,0,0,0,0,17,14,0,0,0,0,0,0
21,322655,DC,Davinson Sánchez,6.8,0,0,1,0,57,50,1,1,1,1,0,0
22,117973,DC,Eric Dier,6.6,0,0,1,1,76,63,0,0,1,1,0,0
23,103837,DC,Ben Davies,6.9,0,0,1,0,50,42,0,0,3,3,0,0
24,328512,DMR,Emerson Royal,6.4,0,0,0,0,38,33,0,0,0,0,0,0
25,362275,DML,Sergio Reguilón,6.2,0,0,0,0,17,10,0,0,0,0,1,0
26,101859,MC,Pierre-Emile Højbjerg,6.4,0,0,1,0,73,66,1,1,1,0,0,0
27,143990,MC,Harry Winks,7.1,0,0,0,0,80,74,0,0,2,1,0,0
28,131519,AMC,Dele Alli,6.5,0,0,0,0,24,17,1,0,3,1,0,0
29,91909,AMC,Son Heung-Min,7.9,0,0,5,3,35,27,2,0,0,0,0,0
30,83532,FW,Harry Kane,7.0,1,0,4,2,18,13,4,2,0,0,0,0
31,368519,sub,Bryan Gil,6.3,0,0,1,1,8,6,0,0,0,0,0,0
32,94042,sub,Matt Doherty,6.9,0,0,4,1,31,28,1,1,2,1,0,0
33,92508,sub,Lucas Moura,6.6,0,0,3,3,12,9,0,0,1,1,0,0
34,321389,sub,Tanguy Ndombele,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,384063,sub,Japhet Tanganga,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,364215,sub,Oliver Skipp,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
